check,expected,observed,pass,detail
split_n_train::fold2,2561,2561,True,
split_test_unique::fold3,640,640,True,
split_test_in_universe::fold3,640,640,True,
split_group_overlap::fold3,0,0,True,
split_n_test::fold3,640,640,True,
split_n_train::fold3,2561,2561,True,
split_test_unique::fold4,640,640,True,
split_test_in_universe::fold4,640,640,True,
split_group_overlap::fold4,0,0,True,
split_n_test::fold4,640,640,True,
split_n_train::fold4,2561,2561,True,
primary_each_record_tested_once,3201,3201,True,
historical_ET_core_config_compatible,True,True,True,"Pipeline(steps=[('imputer', SimpleImputer(strategy='median')),
                ('model',
                 ExtraTreesRegressor(n_estimators=300, n_jobs=18,
                                     random_state=42))])"
