target,split_name,reporting_name,stage_c_primary_earliest_useful_stage,domain_point_earliest_stage_10pct,comparison_status,reference_stage_for_skill_check,reference_stage_macro_mae_skill,reference_stage_macro_rmse_skill,reference_stage_passes_10pct_macro_point,interpretation_note
energy_grav,leave_working_ion_out,working-ion-held-out validation,P1,P1,same_stage_at_point_level,P1,0.39711012692985703,0.27013152109671557,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
energy_vol,leave_chemical_system_out,host-chemical-system-held-out validation,P1,P1,same_stage_at_point_level,P1,0.25865776090913173,0.23092331513538433,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
energy_vol,leave_family_out,coarse-chemistry-family-held-out validation,P1,P1,same_stage_at_point_level,P1,0.25063889717652343,0.17214651637730916,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
energy_vol,leave_working_ion_out,working-ion-held-out validation,P1,P1,same_stage_at_point_level,P1,0.3732056014062797,0.2747266025990902,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
max_delta_volume,leave_chemical_system_out,host-chemical-system-held-out validation,none_through_P3,P1,domain_point_skill_emerges_primary_remains_none,P3,0.2604960896849836,0.22684886216686317,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
max_delta_volume,leave_family_out,coarse-chemistry-family-held-out validation,none_through_P3,none_through_P3,consistent_none_at_point_level,P3,-0.2939455347338018,-0.2511472828880512,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
max_delta_volume,leave_working_ion_out,working-ion-held-out validation,none_through_P3,P3,domain_point_skill_emerges_primary_remains_none,P3,0.16221109944304057,0.1605493588954512,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_charge,leave_chemical_system_out,host-chemical-system-held-out validation,P2,P3,later_stage_required_at_point_level,P2,0.09984361596236602,0.08376327456508792,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_charge,leave_family_out,coarse-chemistry-family-held-out validation,P2,none_through_P3,lost_under_domain_shift_at_point_level,P2,-0.14544371528657196,-0.05109400507305151,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_charge,leave_working_ion_out,working-ion-held-out validation,P2,P2,same_stage_at_point_level,P2,0.22785393526439301,0.13232933742537256,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_discharge,leave_chemical_system_out,host-chemical-system-held-out validation,P3,P1,earlier_stage_at_point_level,P3,0.18203359636540073,0.14908132231762317,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_discharge,leave_family_out,coarse-chemistry-family-held-out validation,P3,none_through_P3,lost_under_domain_shift_at_point_level,P3,-0.24564622657853397,-0.1094475448768375,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_discharge,leave_working_ion_out,working-ion-held-out validation,P3,P3,same_stage_at_point_level,P3,0.20153214697869115,0.16140853000740885,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_worst,leave_chemical_system_out,host-chemical-system-held-out validation,P2,P2,same_stage_at_point_level,P2,0.1307061013659001,0.1224478577390633,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_worst,leave_family_out,coarse-chemistry-family-held-out validation,P2,none_through_P3,lost_under_domain_shift_at_point_level,P2,-0.30891235607197043,-0.11066785599618978,False,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
stability_worst,leave_working_ion_out,working-ion-held-out validation,P2,P2,same_stage_at_point_level,P2,0.22654303628584782,0.14804656617364387,True,descriptive domain robustness only; Stage-C bootstrap remains the primary earliest-useful-stage classification
