record_index,working_ion,electrode_uid,dup_exact_electrode_uid,dup_same_ion_framework_charge_discharge_formula,dup_same_ion_charge_discharge_ids,dup_same_framework_uid,dup_same_ion_battery_formula_framework
Li_000044,Li,el_79be5794de300165,False,False,False,False,False
Li_000045,Li,el_56592bad436f3e38,False,False,False,False,False
Li_000046,Li,el_d43a546f36a687f6,False,False,False,False,False
Li_000047,Li,el_bb425447565a4bfd,False,False,False,False,False
Li_000048,Li,el_46388e235f64dba5,False,False,False,False,False
Li_000049,Li,el_2fae3837b02db4a9,False,False,False,False,False
Li_000050,Li,el_0e8f4c7e0a9e3595,False,False,False,False,False
Li_000051,Li,el_d1f112aa624efe40,False,False,False,False,False
Li_000052,Li,el_616a44875b42f5b2,False,False,False,False,False
Li_000053,Li,el_eaee6af9a7ce0c47,False,False,False,False,False
Li_000054,Li,el_d09e1fad5e15cc6d,False,True,False,True,True
Li_000055,Li,el_060a432515703153,False,False,False,True,False
Li_000056,Li,el_7310139187485b37,False,False,False,True,False
Li_000057,Li,el_639722db1a5df0c9,False,True,False,True,True
Li_000058,Li,el_d21a8bc4981deaf1,False,False,False,True,False
Li_000059,Li,el_6a495c7eff511a2d,False,True,False,True,True
Li_000060,Li,el_746383e6d6d04cb0,False,True,False,True,True
Li_000061,Li,el_cdd6054753a1c730,False,False,False,False,False
Li_000062,Li,el_996b377ab3ae7006,False,False,False,False,False
Li_000063,Li,el_cbf30263466466b8,False,False,False,False,False
Li_000064,Li,el_28c5a08e6b3943a9,False,False,False,False,False
Li_000065,Li,el_eeed3ef1afc1dea5,False,False,False,False,False
Li_000066,Li,el_0c498e437a8d13dd,False,True,False,True,True
Li_000067,Li,el_779a1ed329f67972,False,False,False,False,False
Li_000068,Li,el_89b8be5c203a8aaf,False,False,False,True,False
Li_000069,Li,el_dc95a1ef4017db86,False,True,False,True,True
Li_000070,Li,el_68b117d1ae8e68d6,False,True,False,True,True
Li_000071,Li,el_d07ee6278cdce42a,False,True,False,True,True
Li_000072,Li,el_ce68d0f6fd4caf41,False,True,False,True,True
Li_000073,Li,el_4b78d9728e2fa734,False,True,False,True,True
Li_000074,Li,el_64c54677d063b930,False,False,False,False,False
Li_000075,Li,el_ff951ba8333969ee,False,True,False,True,True
Li_000076,Li,el_3cc692cec84c56ca,False,True,False,True,True
Li_000077,Li,el_f4bc25d56ec13095,False,True,False,True,True
Li_000078,Li,el_3de25a3f955089c1,False,True,False,True,True
Li_000079,Li,el_d91289e5d547adbf,False,True,False,True,True
Li_000080,Li,el_c471b8ecd90766e4,False,False,False,False,False
Li_000081,Li,el_a003c147679862cb,False,False,False,True,False
Li_000082,Li,el_a4224a064f92ee69,False,True,False,True,True
Li_000083,Li,el_df104b2bc3ba3de9,False,True,False,True,True
Li_000084,Li,el_3198ac708003d5bb,False,True,False,True,True
Li_000085,Li,el_cb0e1e0167fe72e8,False,True,False,True,True
Li_000086,Li,el_c95516f661ab1bc1,False,True,False,True,True
Li_000087,Li,el_07ba25b9ba2e35db,False,True,False,True,True
Li_000088,Li,el_8304441bb4ce3ebe,False,True,False,True,True
Li_000089,Li,el_825a2b0504e229f4,False,True,False,True,True
Li_000090,Li,el_ac097ac9bfd733a1,False,True,False,True,True
Li_000091,Li,el_dc6a5ca54db3f054,False,True,False,True,True
Li_000092,Li,el_59001b45cda23ed3,False,True,False,True,True
Li_000093,Li,el_c98a6b0bba0b5707,False,True,False,True,True
Li_000094,Li,el_f37ff95db5b6e395,False,True,False,True,True
Li_000095,Li,el_209973dbf2281ad6,False,False,False,True,False
Li_000096,Li,el_a1665486a4d01b68,False,True,False,True,True
Li_000097,Li,el_01ead53df345dc90,False,True,False,True,True
Li_000098,Li,el_f95b26358460e15b,False,True,False,True,True
Li_000099,Li,el_2965478e8d5fa199,False,True,False,True,True
Li_000100,Li,el_7a92639d53b43507,False,True,False,True,True
Li_000101,Li,el_e71f2e260958f22d,False,False,False,True,False
Li_000102,Li,el_73ea05af4a4c9b06,False,True,False,True,True
Li_000103,Li,el_2e9410b6fd0856a3,False,True,False,True,True
Li_000104,Li,el_964ef1f6da53e478,False,True,False,True,True
Li_000105,Li,el_09e4579814fdf249,False,False,False,False,False
Li_000106,Li,el_745244037161ca73,False,True,False,True,True
Li_000107,Li,el_23def158803feae6,False,False,False,False,False
Li_000108,Li,el_f38bdcdc24baaf03,False,False,False,False,False
Li_000109,Li,el_199a0f139a08e187,False,False,False,False,False
Li_000110,Li,el_d48716ce1240e174,False,False,False,False,False
Li_000111,Li,el_fadb5d0f3da4f7c6,False,True,False,True,True
Li_000112,Li,el_cffa068a0b1ccf24,False,True,False,True,True
Li_000113,Li,el_949631c6d267a846,False,False,False,False,False
Li_000114,Li,el_13f105f24db3e589,False,False,False,False,False
Li_000115,Li,el_dc93a997573657b0,False,False,False,False,False
Li_000116,Li,el_29670a220fc60f5b,False,False,False,False,False
Li_000117,Li,el_c36aa096c6daf3f0,False,False,False,False,False
Li_000118,Li,el_c2ab962b22ab6f96,False,False,False,False,False
Li_000119,Li,el_d907c8259297e30c,False,False,False,False,False
Li_000120,Li,el_b45eea9642bec2db,False,False,False,False,False
Li_000121,Li,el_5ea1073449dc3150,False,False,False,False,False
Li_000122,Li,el_9d210e5ac925798a,False,False,False,False,False
Li_000123,Li,el_af2da3fa665b4324,False,False,False,False,False
Li_000124,Li,el_96c1abf4d96608f0,False,False,False,False,False
Li_000125,Li,el_05b0eb23b4b72a48,False,False,False,False,False
Li_000126,Li,el_3599653dd2d5aa2f,False,False,False,False,False
Li_000127,Li,el_d0d5a902d9cdcc46,False,False,False,False,False
Li_000128,Li,el_f57e63fcf1d24650,False,False,False,False,False
Li_000129,Li,el_2048bce65348b5e1,False,False,False,False,False
Li_000130,Li,el_6753356c4b4f187b,False,False,False,False,False
Li_000131,Li,el_bbebb2596cb4c3d2,False,False,False,False,False
Li_000132,Li,el_54d5e186e71485c0,False,False,False,False,False
Li_000133,Li,el_6a0e688d0703e284,False,False,False,False,False
Li_000134,Li,el_44c132616c03d1cf,False,False,False,False,False
Li_000135,Li,el_e7fe2b0c14e8bd4d,False,False,False,False,False
Li_000136,Li,el_c4b7269895c5d469,False,False,False,False,False
Li_000137,Li,el_307fbe067566b8f7,False,False,False,False,False
Li_000138,Li,el_b53962fe6b84f776,False,True,False,True,True
Li_000139,Li,el_10bdb4ec5ac99244,False,False,False,False,False
Li_000140,Li,el_96641de0e7524285,False,True,False,True,True
Li_000141,Li,el_9805bf181c6da529,False,False,False,False,False
Li_000142,Li,el_2695a2b9d57f252a,False,False,False,False,False
Li_000143,Li,el_56c3e96049f299e0,False,False,False,False,False
Li_000144,Li,el_09e7db33fdc4cc65,False,False,False,False,False
Li_000145,Li,el_3425fc6912f6d6cf,False,False,False,False,False
Li_000146,Li,el_0e84fcf6f3aa4353,False,False,False,False,False
Li_000147,Li,el_8b286653c81dd024,False,False,False,False,False
Li_000148,Li,el_a759c24fa03e5685,False,False,False,False,False
Li_000149,Li,el_b4a948b1a2bd319b,False,False,False,False,False
Li_000150,Li,el_844f522d74da1a38,False,False,False,False,False
Li_000151,Li,el_f8523f95776d7f11,False,False,False,False,False
Li_000152,Li,el_598ed645f0624e3c,False,False,False,False,False
Li_000153,Li,el_7e1f1a80c027ff16,False,False,False,False,False
Li_000154,Li,el_50d4c26c4dc6e3e3,False,False,False,False,False
Li_000155,Li,el_8e9528d7e9661111,False,True,False,True,True
Li_000156,Li,el_06a6947d348a0d19,False,False,False,False,False
Li_000157,Li,el_41d5766a51eba551,False,True,False,True,True
Li_000158,Li,el_49cee14e0c817e7d,False,True,False,True,True
Li_000159,Li,el_ba8a4c8e1ff399dc,False,True,False,True,True
Li_000160,Li,el_3ac533b25237bccf,False,True,False,True,True
Li_000161,Li,el_a93e784f46c3842c,False,True,False,True,True
Li_000162,Li,el_eafd64d366e4d214,False,True,False,True,True
Li_000163,Li,el_94abde12b501dfb5,False,False,False,False,False
Li_000164,Li,el_61c3f28dc36c5523,False,True,False,True,True
Li_000165,Li,el_9aed7c03056f7386,False,True,False,True,True
Li_000166,Li,el_b6d12beb908f70b6,False,False,False,False,False
Li_000167,Li,el_7efb647f9d284f87,False,True,False,True,True
Li_000168,Li,el_fa6b4f6ebfd4f0ce,False,False,False,False,False
Li_000169,Li,el_b455553244db7432,False,False,False,True,False
Li_000170,Li,el_0db45c13cf0c3498,False,True,False,True,True
Li_000171,Li,el_866077d014b1c577,False,True,False,True,True
Li_000172,Li,el_3814d811d0d827b5,False,False,False,False,False
Li_000173,Li,el_dbb92f79f296f67c,False,True,False,True,True
Li_000174,Li,el_9e0eee79fbaa4396,False,True,False,True,True
Li_000175,Li,el_205be3863b288704,False,True,False,True,True
Li_000176,Li,el_b0fb34c3eb8e6f3a,False,True,False,True,True
Li_000177,Li,el_ea89a274dcda67aa,False,True,False,True,True
Li_000178,Li,el_bde364526028707d,False,False,False,False,False
Li_000179,Li,el_55ab612c502fc9c4,False,False,False,False,False
Li_000180,Li,el_3cad5a9cd0312fd0,False,False,False,True,False
Li_000181,Li,el_268d1192d9121fe2,False,False,False,False,False
Li_000182,Li,el_5c9cd86d02cd34ad,False,False,False,False,False
Li_000183,Li,el_bd0ceb573de6ee19,False,False,False,False,False
Li_000184,Li,el_a8c445a91c241726,False,True,False,True,True
Li_000185,Li,el_c142fafa2dbbf711,False,False,False,True,False
Li_000186,Li,el_da1775d6877cba60,False,False,False,False,False
Li_000187,Li,el_c918c0334981f03b,False,False,False,False,False
Li_000188,Li,el_689948667ca1b0a9,False,True,False,True,True
Li_000189,Li,el_4a17018f3edb1c99,False,False,False,False,False
Li_000190,Li,el_0becfde3598abf62,False,False,False,False,False
Li_000191,Li,el_4764a43cafb3ec2d,False,False,False,False,False
Li_000192,Li,el_1d7d7e90993f2e8e,False,False,False,False,False
Li_000193,Li,el_7ef1b4971a9c4383,False,False,False,False,False
Li_000194,Li,el_d8978b8d578a78be,False,False,False,False,False
Li_000195,Li,el_7568a4e72f5d32e5,False,False,False,False,False
Li_000196,Li,el_4416b07db035a356,False,False,False,True,False
Li_000197,Li,el_a5a91142dad84145,False,False,False,True,False
Li_000198,Li,el_a099bd2b3d3c69e7,False,False,False,True,False
Li_000199,Li,el_12135aa85dc71310,False,False,False,True,False
Li_000200,Li,el_fcb51c8359b511cd,False,False,False,False,False
Li_000201,Li,el_f9cbc269d960d0a0,False,False,False,False,False
Li_000202,Li,el_36fc5cdd3117a71d,False,False,False,True,False
Li_000203,Li,el_2a8122dd615226a4,False,False,False,True,False
Li_000204,Li,el_8cc28d233911b17a,False,False,False,False,False
Li_000205,Li,el_d14b0b9950c3ef8d,False,False,False,False,False
Li_000206,Li,el_c5b4241de29bdc46,False,True,False,True,True
Li_000207,Li,el_7f1f529b30c457f9,False,False,False,True,False
Li_000208,Li,el_75e1e4751a88e43b,False,False,False,True,False
Li_000209,Li,el_c41885a8aba8dcde,False,True,False,True,True
Li_000210,Li,el_bf3c37289ad65418,False,False,False,False,False
Li_000211,Li,el_d7f812cb4bfd3a8e,False,False,False,False,False
Li_000212,Li,el_6d3db30431754700,False,False,False,False,False
Li_000213,Li,el_d0ae578b7934e63e,False,False,False,False,False
Li_000214,Li,el_392fa415aabb8812,False,False,False,True,False
Li_000215,Li,el_70efa014aa9823a7,False,False,False,True,False
Li_000216,Li,el_91ba70415a578da3,False,False,False,False,False
Li_000217,Li,el_bf76b515cc0a49cb,False,False,False,False,False
Li_000218,Li,el_e9c344748de6f3d3,False,False,False,False,False
Li_000219,Li,el_a5982a4ca23a22b1,False,False,False,False,False
Li_000220,Li,el_fdf624b5282fe378,False,True,False,True,True
Li_000221,Li,el_862f7c84c3fb428a,False,False,False,False,False
Li_000222,Li,el_9547324e147dca93,False,False,False,False,False
Li_000223,Li,el_828372f0b3037e52,False,False,False,False,False
Li_000224,Li,el_7978dc26deffabd2,False,False,False,True,False
Li_000225,Li,el_49459782052b120f,False,False,False,True,False
Li_000226,Li,el_6be2cb93a754918a,False,False,False,False,False
Li_000227,Li,el_9cadcc8b0984b97a,False,True,False,True,True
Li_000228,Li,el_37a3434e889a6fec,False,True,False,True,True
Li_000229,Li,el_fc7104a10cdf68d7,False,True,False,True,True
Li_000230,Li,el_1a8b6127bf6fa91d,False,False,False,True,False
Li_000231,Li,el_8a0f5b6b92d31d0a,False,False,False,False,False
Li_000232,Li,el_d27eb6965481582a,False,False,False,False,False
Li_000233,Li,el_86d21dd13a8042c2,False,False,False,False,False
Li_000234,Li,el_fd9aecafb6ecc74c,False,False,False,False,False
Li_000235,Li,el_d83a2c6a892a12ec,False,True,False,True,True
Li_000236,Li,el_8cf4827c58af78b6,False,True,False,True,True
Li_000237,Li,el_11e1d725bb4b60ae,False,True,False,True,True
Li_000238,Li,el_645e8d1ef65e730a,False,True,False,True,True
Li_000239,Li,el_a901bc3bb337b2d6,False,True,False,True,True
Li_000240,Li,el_87e969e1995370f4,False,True,False,True,True
Li_000241,Li,el_98ca2cf5ef73a7c7,False,False,False,True,False
Li_000242,Li,el_c32842506b72d24b,False,False,False,False,False
Li_000243,Li,el_714be7ed02de39a3,False,True,False,True,True
Li_000244,Li,el_bad906deba49f06b,False,True,False,True,True
Li_000245,Li,el_402618d21f88008b,False,False,False,True,False
Li_000246,Li,el_448b76251dbf8062,False,False,False,True,False
Li_000247,Li,el_0fe18b2d476a7b6a,False,True,False,True,True
Li_000248,Li,el_65410dbfa37ce343,False,True,False,True,True
Li_000249,Li,el_e4cf1fe73ee7ad53,False,False,False,False,False
Li_000250,Li,el_14ff0fce67468e87,False,False,False,True,False
Li_000251,Li,el_0362d4ce8928ed59,False,True,False,True,True
Li_000252,Li,el_4e2902a3da4f66af,False,False,False,True,False
Li_000253,Li,el_5608ce981270f371,False,False,False,False,False
Li_000254,Li,el_bb488fd89b0b8227,False,True,False,True,True
Li_000255,Li,el_8e180905c86df8ce,False,True,False,True,True
Li_000256,Li,el_c4b41d16bf6240bd,False,True,False,True,True
Li_000257,Li,el_ef7ad47921ad5189,False,True,False,True,True
Li_000258,Li,el_6cffa16e3e8dfae9,False,True,False,True,True
Li_000259,Li,el_6f07b80505456f77,False,False,False,True,False
Li_000260,Li,el_236f2f0fd51e4ae3,False,True,False,True,True
Li_000261,Li,el_f89bd59022d2978a,False,True,False,True,True
Li_000262,Li,el_4c7c59a237ebae3a,False,False,False,False,False
Li_000263,Li,el_b0a07f1d5c2320f2,False,False,False,True,False
Li_000264,Li,el_ac0820a52928adfc,False,False,False,False,False
Li_000265,Li,el_988eee4ab79bb1d9,False,False,False,False,False
Li_000266,Li,el_cc3b12c50ce2a470,False,False,False,False,False
Li_000267,Li,el_f3dcc784eac07046,False,False,False,False,False
Li_000268,Li,el_a260ab669c8a5a88,False,False,False,False,False
Li_000269,Li,el_4b9e4dc3b94d1a68,False,True,False,True,True
Li_000270,Li,el_9e1610500ae0947a,False,True,False,True,True
Li_000271,Li,el_bfc856d30354b0fb,False,False,False,True,False
Li_000272,Li,el_5cfd7227670615aa,False,False,False,False,False
Li_000273,Li,el_58acfb56378cf981,False,True,False,True,True
Li_000274,Li,el_359bebd6ea870545,False,True,False,True,True
Li_000275,Li,el_3492bf14ddbaf974,False,False,False,True,False
Li_000276,Li,el_869ae20e4f834d1b,False,False,False,True,False
Li_000277,Li,el_c7fe9d26b8b80e89,False,False,False,False,False
Li_000278,Li,el_3e5d619256229ecc,False,False,False,True,False
Li_000279,Li,el_2a40ed86e05ba07d,False,False,False,False,False
Li_000280,Li,el_fab073dc40364df0,False,True,False,True,True
Li_000281,Li,el_9f98329929917e8a,False,False,False,True,False
Li_000282,Li,el_cf67b3bd7e1c34fd,False,False,False,True,False
Li_000283,Li,el_9efcbf8928571212,False,True,False,True,True
Li_000284,Li,el_edc9c688749e2e5a,False,True,False,True,True
Li_000285,Li,el_29c4f17c2471bb5e,False,True,False,True,True
Li_000286,Li,el_31652c41fc5e4138,False,False,False,False,False
Li_000287,Li,el_3aab627584afa803,False,False,False,False,False
Li_000288,Li,el_a2dfbd8473741cad,False,False,False,True,False
Li_000289,Li,el_177fff0abae080a9,False,False,False,False,False
Li_000290,Li,el_ac17effc7c3ad018,False,True,False,True,True
Li_000291,Li,el_755bb543f0194867,False,False,False,False,False
Li_000292,Li,el_d1196ec729730f58,False,True,False,True,True
Li_000293,Li,el_3f726ff4ace2bdbc,False,False,False,False,False
Li_000294,Li,el_a33e5062bcbb499a,False,False,False,False,False
Li_000295,Li,el_2777aa363bf467bc,False,False,False,False,False
Li_000296,Li,el_1eefb744b1a3bb64,False,False,False,False,False
Li_000297,Li,el_d755281f6c65a7e9,False,True,False,True,True
Li_000298,Li,el_8b17e10324d9c79e,False,False,False,False,False
Li_000299,Li,el_493264f3c3e2c014,False,False,False,True,False
Li_000300,Li,el_67069ebee2e4943e,False,False,False,False,False
Li_000301,Li,el_38ac25c3afdd4179,False,True,False,True,True
Li_000302,Li,el_8f7250c110686e23,False,False,False,False,False
Li_000303,Li,el_14fc1e55cc1ee34e,False,False,False,False,False
Li_000304,Li,el_a9af460ab341ea9e,False,True,False,True,True
Li_000305,Li,el_d718787883e167f2,False,True,False,True,True
Li_000306,Li,el_5c2d254a7f210f79,False,False,False,True,False
Li_000307,Li,el_c1ec92a8096f1748,False,False,False,False,False
Li_000308,Li,el_1a39250e411d6b86,False,False,False,True,False
Li_000309,Li,el_1a6b8addae6a5eef,False,False,False,False,False
Li_000310,Li,el_4b212764ee923543,False,False,False,False,False
Li_000311,Li,el_70cbf4b96c788893,False,False,False,False,False
Li_000312,Li,el_f3b81257978f2097,False,False,False,False,False
Li_000313,Li,el_4d4efb32025d3b88,False,False,False,False,False
Li_000314,Li,el_edb3a6a3b6a7227d,False,False,False,False,False
Li_000315,Li,el_e4bf9f389ea7f5c9,False,False,False,False,False
Li_000316,Li,el_1516e4023823287f,False,False,False,False,False
Li_000317,Li,el_e1dbcb282fc0269a,False,False,False,False,False
Li_000318,Li,el_791b591b1806fd6b,False,False,False,False,False
Li_000319,Li,el_0908798103a71d7e,False,False,False,False,False
Li_000320,Li,el_348c336a92447c46,False,False,False,False,False
Li_000321,Li,el_a2a8f19087b80db4,False,False,False,False,False
Li_000322,Li,el_2013c017fa14e881,False,False,False,False,False
Li_000323,Li,el_df19c0321b092f10,False,False,False,False,False
Li_000324,Li,el_14c9d478b0ed8973,False,False,False,False,False
Li_000325,Li,el_efed434c5bff8cb1,False,False,False,False,False
Li_000326,Li,el_23afd924ad8e8672,False,False,False,False,False
Li_000327,Li,el_dff43daa7af8fbb5,False,False,False,False,False
Li_000328,Li,el_245a229f81f8c692,False,False,False,False,False
Li_000329,Li,el_5b6882292f1836cc,False,False,False,False,False
Li_000330,Li,el_4f3d32efa1067017,False,False,False,False,False
Li_000331,Li,el_0d17427431345869,False,False,False,False,False
Li_000332,Li,el_5ef21cc3535b6e3d,False,False,False,False,False
Li_000333,Li,el_85a7da9f52487474,False,True,False,True,True
Li_000334,Li,el_3bb5496af026cf64,False,True,False,True,True
Li_000335,Li,el_eadb5551f435d9d0,False,False,False,False,False
Li_000336,Li,el_9e4e3af761118e86,False,True,False,True,True
Li_000337,Li,el_6750fa5b99f0010d,False,False,False,False,False
Li_000338,Li,el_6f8bf334c1babeba,False,False,False,False,False
Li_000339,Li,el_755326a4532bb489,False,False,False,False,False
Li_000340,Li,el_7a29468248eda2f7,False,True,False,True,True
Li_000341,Li,el_dfd789abe26054eb,False,False,False,False,False
Li_000342,Li,el_adf66999cf35ed9b,False,False,False,False,False
Li_000343,Li,el_6ff6fb8ddb6e71df,False,False,False,False,False
Li_000344,Li,el_ba9ea2000b479e59,False,False,False,False,False
Li_000345,Li,el_2dec1e8f73946856,False,False,False,False,False
Li_000346,Li,el_0efff00c929d5320,False,False,False,False,False
Li_000347,Li,el_e2bf378bd545b87a,False,False,False,False,False
Li_000348,Li,el_6754da3478122c26,False,False,False,False,False
Li_000349,Li,el_9419a91401acb7ad,False,False,False,False,False
Li_000350,Li,el_4bd1096a2c6f378a,False,False,False,True,False
Li_000351,Li,el_b67df5b1c71bd4da,False,False,False,True,False
Li_000352,Li,el_de12174afc4b5cea,False,True,False,True,True
Li_000353,Li,el_685e35cda18203d8,False,False,False,True,False
Li_000354,Li,el_5730a9fbe136400e,False,True,False,True,True
Li_000355,Li,el_4322f002fffe72f5,False,True,False,True,True
Li_000356,Li,el_240d03d4ee82d611,False,False,False,True,False
Li_000357,Li,el_909609a8ebaa3e13,False,True,False,True,True
Li_000358,Li,el_98f10dd6cb92f35a,False,True,False,True,True
Li_000359,Li,el_4b61adefdaabbd9b,False,False,False,True,False
Li_000360,Li,el_21cc61320c703433,False,False,False,True,False
Li_000361,Li,el_e4c24ec747b72257,False,True,False,True,True
Li_000362,Li,el_4238eda3dff984bf,False,True,False,True,True
Li_000363,Li,el_5b01d8ce5a3180f4,False,False,False,False,False
Li_000364,Li,el_d41b82deab1ab692,False,False,False,True,False
Li_000365,Li,el_03009512032cb55c,False,True,False,True,True
Li_000366,Li,el_536699e1b8e833f0,False,False,False,False,False
Li_000367,Li,el_1782fdefafb39d9f,False,True,False,True,True
Li_000368,Li,el_c6d272e5c240fee1,False,True,False,True,True
Li_000369,Li,el_46a120a1494c7c0a,False,False,False,False,False
Li_000370,Li,el_0e4a569b73466e3d,False,True,False,True,True
Li_000371,Li,el_7bfa847248dcfb5f,False,False,False,False,False
Li_000372,Li,el_b1038960eccc815a,False,False,False,False,False
Li_000373,Li,el_a0a48e95db95f5cb,False,True,False,True,True
Li_000374,Li,el_734b04cc9d6014d4,False,True,False,True,True
Li_000375,Li,el_00ad401968e6ed6c,False,True,False,True,True
Li_000376,Li,el_1862c6874fa314d1,False,True,False,True,True
Li_000377,Li,el_8f751287b309d972,False,True,False,True,True
Li_000378,Li,el_3d32df62739aea68,False,False,False,True,False
Li_000379,Li,el_d9b5a0f2eef6a3e2,False,False,False,True,False
Li_000380,Li,el_de875ec23de88577,False,True,False,True,True
Li_000381,Li,el_faa7a75d0ffefeec,False,True,False,True,True
Li_000382,Li,el_cb7117cd5bdedfcf,False,True,False,True,True
Li_000383,Li,el_680550d24e0c12a8,False,True,False,True,True
Li_000384,Li,el_4a3bb8be9895e204,False,True,False,True,True
Li_000385,Li,el_21cbce8e9c14bda2,False,True,False,True,True
Li_000386,Li,el_09e2421f4dd58e6a,False,True,False,True,True
Li_000387,Li,el_af5f5c40409395aa,False,False,False,True,False
Li_000388,Li,el_e194b04237ee8210,False,False,False,False,False
Li_000389,Li,el_818d607bba7adcfc,False,True,False,True,True
Li_000390,Li,el_a6c8a67b20bf860a,False,True,False,True,True
Li_000391,Li,el_3c2ffa11a5a70c7a,False,True,False,True,True
Li_000392,Li,el_52c5f06543730c2a,False,True,False,True,True
Li_000393,Li,el_4bd7ca96452c07f6,False,True,False,True,True
Li_000394,Li,el_85037406a3759df4,False,True,False,True,True
Li_000395,Li,el_afbf45c233198a96,False,True,False,True,True
Li_000396,Li,el_0c0adab2f638d5e2,False,True,False,True,True
Li_000397,Li,el_b795291c585ee504,False,True,False,True,True
Li_000398,Li,el_5397b50f0cd11011,False,True,False,True,True
Li_000399,Li,el_53222a6cfbe2c681,False,True,False,True,True
Li_000400,Li,el_9009ad841636e232,False,True,False,True,True
Li_000401,Li,el_d4f362f40ded42fe,False,True,False,True,True
Li_000402,Li,el_ff1d0b112189a873,False,True,False,True,True
Li_000403,Li,el_baad9c5323f5507a,False,True,False,True,True
Li_000404,Li,el_9f3e343d2e9c8c8f,False,True,False,True,True
Li_000405,Li,el_511515330abff510,False,True,False,True,True
Li_000406,Li,el_e17747fa5cadfc6f,False,True,False,True,True
Li_000407,Li,el_61756b5af30599ad,False,True,False,True,True
Li_000408,Li,el_eb5292157e9faa2c,False,True,False,True,True
Li_000409,Li,el_54972896793ac6d4,False,False,False,False,False
Li_000410,Li,el_6a37f42257a10074,False,True,False,True,True
Li_000411,Li,el_0314524b0bb23e09,False,True,False,True,True
Li_000412,Li,el_86e35aec417f9bcb,False,True,False,True,True
Li_000413,Li,el_5823811c6422cd53,False,False,False,True,False
Li_000414,Li,el_7dc931d073cb0165,False,False,False,False,False
Li_000415,Li,el_476b3b3738dde657,False,True,False,True,True
Li_000416,Li,el_f3a09fea76a6e92f,False,True,False,True,True
Li_000417,Li,el_f8adbea1813bc0ac,False,True,False,True,True
Li_000418,Li,el_6b3450ffe395b12c,False,False,False,False,False
Li_000419,Li,el_ade6a2f951befa74,False,False,False,False,False
Li_000420,Li,el_985d207d4815504a,False,False,False,False,False
Li_000421,Li,el_0dbc89ceeabf9c56,False,False,False,False,False
Li_000422,Li,el_e3f9aa02ccf4a960,False,True,False,True,True
