shortlist_priority_rank,record_index,electrode_uid,battery_formula,formula_charge,formula_discharge,framework_formula,coarse_family,chemical_system_uid,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_worst,case_screen_pass,computed_pareto_member,predicted_pareto_member,computed_target_score,predicted_transfer_score,uncertainty_penalty_norm,ad_penalty_norm,final_triage_score,mc_score_mean,rank_median_mc,rank_iqr_mc,top10_probability_mc,top20_probability_mc,top30_probability_mc,prediction_coverage_n_targets,high_uncertainty_flag,out_of_domain_flag,case_study_do_not_overclaim_flag,pred_average_voltage,unc_tree_std_average_voltage,conf_lower_average_voltage,conf_upper_average_voltage,conf_width_average_voltage,ad_flag_average_voltage,pred_capacity_grav,unc_tree_std_capacity_grav,conf_lower_capacity_grav,conf_upper_capacity_grav,conf_width_capacity_grav,ad_flag_capacity_grav,pred_energy_grav,unc_tree_std_energy_grav,conf_lower_energy_grav,conf_upper_energy_grav,conf_width_energy_grav,ad_flag_energy_grav,pred_max_delta_volume,unc_tree_std_max_delta_volume,conf_lower_max_delta_volume,conf_upper_max_delta_volume,conf_width_max_delta_volume,ad_flag_max_delta_volume,pred_stability_worst,unc_tree_std_stability_worst,conf_lower_stability_worst,conf_upper_stability_worst,conf_width_stability_worst,ad_flag_stability_worst,manual_candidate_id
11,Na_000087,el_21648b3822f38a5a,Na1-3MnPCO7,NaMnPCO7,Na3MnPCO7,MnPCO7,polyanion_phosphate_like,C-Mn-O-P,3.369558361551721,192.2027348596324,647.6383323593827,0.073265602924694,0.0,True,True,True,0.7154403910353758,0.6154467495391955,0.1698543425780497,0.0,0.6387079527038741,0.6402792305691704,11.0,9.0,0.442,0.874,0.98,5,False,False,False,3.68196009332855,0.5706134626150312,2.51201569619768,4.85190449045942,2.33988879426174,in_domain,171.72083288406938,54.09060387866018,103.50906517242572,239.93260059571304,136.42353542328732,in_domain,615.2384665290236,220.66533808762583,338.1061445665135,892.3707884915339,554.2646439250204,in_domain,0.0874613023205067,0.0930303830878937,-0.0114155387306239,0.1863381433716375,0.1977536821022614,in_domain,0.0549116947490933,0.0529652864752973,-0.0542362179822223,0.1640596074804091,0.2182958254626315,in_domain,Na_candidate_11
12,Na_000163,el_3535d428395d0149,Na0-2MnH4(SO5)2,MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,sulfate_or_sulfur_oxoanion_like,H-Mn-O-S,4.239597669051729,162.89062405005873,690.5907100330106,0.133276296695113,0.018710770637256,True,True,True,0.7203722797311426,0.5835976333205732,0.1122215053895885,0.0,0.6300531705498968,0.6244750094170407,14.0,10.0,0.32,0.8,0.968,5,False,False,False,4.264227333355644,0.5636143279727427,3.0942829362247743,5.434171730486515,2.339888794261741,in_domain,133.13779177700118,48.90546785720166,64.92602406535752,201.34955948864484,136.42353542328732,in_domain,515.6260625957353,235.77508844504308,238.4937406332252,792.7583845582456,554.2646439250204,in_domain,0.0836731415407497,0.0671638633548252,-0.015203699510381,0.1825499825918804,0.1977536821022614,in_domain,0.0492044041590922,0.0309566993129323,-0.0599435085722235,0.1583523168904079,0.2182958254626315,in_domain,Na_candidate_12
13,Na_000297,el_ff47a124b7d2a8ad,Na0-1CoPO4,CoPO4,NaCoPO4,CoPO4,polyanion_phosphate_like,Co-O-P,3.960957919051726,151.51125369018754,600.1297001296034,0.024417398488017,0.012940566666667,True,True,True,0.6874303311207085,0.5939219437619315,0.1282905931381454,0.0,0.6189110881088994,0.6148713682825682,15.0,10.0,0.26,0.754,0.958,5,False,False,False,4.182059805311451,0.4605704497319703,3.012115408180581,5.352004202442322,2.339888794261741,in_domain,140.84376894247586,39.00106054057655,72.6320012308322,209.05553665411952,136.42353542328732,in_domain,523.488379686802,192.72676524980824,246.35605772429184,800.6207016493122,554.2646439250204,in_domain,0.1020806438142095,0.0982124714735279,0.0032038027630787,0.2009574848653402,0.1977536821022614,in_domain,0.0429513369887793,0.0453355860015192,-0.0661965757425364,0.152099249720095,0.2182958254626315,in_domain,Na_candidate_13
14,Na_000100,el_aa74010285ab01ed,Na1.5-3NiPCO7,Na3Ni2P2(CO7)2,Na3NiPCO7,NiPCO7,polyanion_phosphate_like,C-Ni-O-P,4.058584699885058,142.23676513448655,577.2799587359716,0.02189481609775,0.044120722608695,True,True,True,0.6284579702480447,0.6479428629943632,0.1659972568760899,0.0,0.6144205395465183,0.6112508594228216,15.0,9.0,0.212,0.752,0.944,5,False,False,False,4.388304440695506,0.636492844660336,3.218360043564636,5.558248837826376,2.339888794261741,in_domain,148.253151118237,53.873102422862544,80.04138340659333,216.46491882988065,136.42353542328732,in_domain,658.7350951931644,249.5868779761726,381.60277323065424,935.8674171556744,554.2646439250202,in_domain,0.0526967816087698,0.0603385927323622,-0.0461800594423608,0.1515736226599005,0.1977536821022614,in_domain,0.0695838306130319,0.053898219430877,-0.0395640821182837,0.1787317433443477,0.2182958254626315,in_domain,Na_candidate_14
15,Na_000120,el_eeae341957dac1d3,Na0-3Cr2(PO4)3,Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,polyanion_phosphate_like,Cr-O-P,4.291304676551717,175.60325231964254,753.5670578969732,0.087594040190126,0.061561507205885,True,True,True,0.7143661332479021,0.5554467072105029,0.1387099228464012,0.0,0.6130931828354983,0.6137331818474385,15.0,10.0,0.23,0.72,0.966,5,False,False,False,4.602616553397554,0.5187130662551843,3.432672156266684,5.772560950528424,2.339888794261741,in_domain,130.74159624080687,43.2839856105065,62.52982852916321,198.95336395245053,136.42353542328732,in_domain,496.9798327949603,193.1629374623266,219.84751083245013,774.1121547574705,554.2646439250204,in_domain,0.0696316973503328,0.0871526532014451,-0.0292451437007978,0.1685085384014635,0.1977536821022614,in_domain,0.0762516336913108,0.0494403011698743,-0.0328962790400048,0.1853995464226266,0.2182958254626315,in_domain,Na_candidate_15
16,Na_000189,el_3992a779a57c4f8f,Na0-2MnP2O7,MnP2O7,Na2MnP2O7,MnP2O7,polyanion_phosphate_like,Mn-O-P,4.05877872905172,195.018501417946,791.536945326702,0.123101178662976,0.072622637499999,True,True,True,0.7084844816449736,0.5447652368902092,0.1511420201870524,0.0,0.6048938521296092,0.5979636162078149,18.0,11.0,0.144,0.608,0.898,5,False,False,False,4.310491199218011,0.6061517471863124,3.1405468020871408,5.480435596348881,2.339888794261741,in_domain,126.7399344834467,41.06653257510383,58.52816677180304,194.9517021950904,136.42353542328732,in_domain,474.4486745672106,175.22850225027838,197.31635260470048,751.5809965297208,554.2646439250203,in_domain,0.1246066948584292,0.1100234251023682,0.0257298538072985,0.22348353590956,0.1977536821022614,in_domain,0.0534510227744869,0.0494350146991204,-0.0556968899568287,0.1625989355058027,0.2182958254626315,in_domain,Na_candidate_16
17,Na_000012,el_83dddee346157f3a,Na1-3CoAsCO7,NaCoAsCO7,Na3CoAsCO7,CoAsCO7,transition_metal_oxide_like,As-C-Co-O,3.7624218903017272,164.00839402719313,617.0687718811425,0.077376141519508,0.043617186377407,True,True,True,0.6327985039389024,0.6059844494302814,0.232297134619213,0.1,0.58951450093898,0.5976398359838525,18.0,10.25,0.136,0.602,0.934,5,False,False,False,4.21455691514564,0.7344190987783376,3.04461251801477,5.384501312276511,2.339888794261741,in_domain,166.97556683724176,65.26101758620695,98.7637991255981,235.18733454888545,136.42353542328732,in_domain,643.4493535024988,275.5278303960843,366.3170315399886,920.5816754650087,554.2646439250202,in_domain,0.0799367190374337,0.0760338168164194,-0.0189401220136969,0.1788135600885645,0.1977536821022614,borderline,0.0946268274311984,0.0711511381260566,-0.0145210853001173,0.2037747401625141,0.2182958254626315,in_domain,Na_candidate_17
18,Na_000077,el_a8a0006f17616f70,Na2-6Fe2C4SO16,Na2Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_or_sulfur_oxoanion_like,C-Fe-O-S,3.904088337801721,183.03058987831173,714.5675914048866,0.034428311613011,0.083436778400001,True,True,True,0.6594505128731201,0.5870137811700908,0.3146693650314108,0.1,0.5880287704175603,0.5937177665031379,19.0,12.0,0.114,0.552,0.884,5,False,False,False,4.277236730040454,0.8683716246928361,3.107292332909584,5.447181127171325,2.339888794261741,in_domain,161.3169348316146,59.6972045541844,93.10516711997091,229.52870254325825,136.42353542328732,in_domain,616.2144550078217,255.62493526951485,339.08213304531154,893.3467769703318,554.2646439250202,in_domain,0.0727898772152732,0.0662651202836756,-0.0260869638358574,0.171666718266404,0.1977536821022614,borderline,0.1145254363701864,0.1172646853746909,0.0053775236388706,0.2236733491015021,0.2182958254626315,in_domain,Na_candidate_18
19,Na_000014,el_657d438f8732b4d6,Na1-3FeAsCO7,NaFeAsCO7,Na3FeAsCO7,FeAsCO7,transition_metal_oxide_like,As-C-Fe-O,3.469605169051721,165.5728782903828,574.4725143710837,0.007168509450685,0.044741147196979,True,True,True,0.6126636507827425,0.6433115197078164,0.2772356099870853,0.5,0.5785546901215265,0.5914115474135694,20.0,10.0,0.11,0.544,0.88,5,False,False,False,4.148240327161187,0.7575479561919143,2.9782959300303173,5.318184724292058,2.339888794261741,borderline,186.350006080089,75.93892185547224,118.13823836844534,254.56177379173263,136.42353542328732,borderline,703.6547060868699,298.24759645367675,426.5223841243597,980.78702804938,554.2646439250204,borderline,0.0715648377497824,0.0728887977901128,-0.0273120033013482,0.1704416788009132,0.1977536821022614,borderline,0.100620214648508,0.0863487579235973,-0.0085276980828076,0.2097681273798238,0.2182958254626315,borderline,Na_candidate_19
20,Na_000060,el_6726ed19eadb0eb5,Na1-3CrPCO7,NaCrPCO7,Na3CrPCO7,CrPCO7,polyanion_phosphate_like,C-Cr-O-P,3.031012679051716,194.2518696590096,588.7798798659595,0.073593047086824,0.056423033579551,True,True,True,0.5826466680930069,0.6298742201879954,0.1830147413815147,0.0,0.5846535152435602,0.5829081684189634,22.0,13.0,0.074,0.464,0.834,5,False,False,False,3.868376167490169,0.7657449653407279,2.698431770359299,5.038320564621039,2.33988879426174,in_domain,169.57651508803178,59.732598334187976,101.36474737638812,237.78828279967544,136.42353542328732,in_domain,636.9617883601468,233.4639281036388,359.8294663976366,914.0941103226568,554.2646439250202,in_domain,0.0724699842082969,0.0648901266716658,-0.0264068568428337,0.1713468252594277,0.1977536821022614,in_domain,0.0620970150943449,0.0555817604571164,-0.0470508976369707,0.1712449278256607,0.2182958254626315,in_domain,Na_candidate_20
21,Na_000193,el_7a5776906b25f4fb,Na0-6Mn3(PO4)4,Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,polyanion_phosphate_like,Mn-O-P,3.469875774885057,235.5697164078063,817.3976522599902,0.14024297968184,0.094573069673917,True,True,False,0.6845822411274431,0.5560981373398985,0.1698952250753162,0.0,0.5781124568057849,0.579710865843577,21.0,12.0,0.066,0.446,0.814,5,False,False,False,4.309318314548247,0.6309357608266845,3.139373917417377,5.479262711679118,2.339888794261741,in_domain,135.3847521513799,43.74651742826467,67.17298443973624,203.5965198630236,136.42353542328732,in_domain,537.0350672396511,212.4867484126832,259.9027452771409,814.1673892021613,554.2646439250204,in_domain,0.084422815863752,0.1007305409832923,-0.0144540251873787,0.1832996569148827,0.1977536821022614,in_domain,0.077380993584364,0.0546363343677748,-0.0317669191469517,0.1865289063156797,0.2182958254626315,in_domain,Na_candidate_21
22,Na_000178,el_a0575431f7663a96,Na0-1MnO2,MnO2,NaMnO2,MnO2,transition_metal_oxide_like,Mn-O,2.745589469051722,243.81248636564385,669.4089949888283,0.075649825346243,0.013758580833332,True,True,False,0.7174242564135136,0.5347541468079416,0.3612630720833676,0.0,0.5718044971246529,0.5811076664153281,22.0,12.0,0.082,0.436,0.81,5,False,False,False,3.283798541942127,0.8551864931801563,2.113854144811257,4.453742939072997,2.33988879426174,in_domain,213.8727172027714,117.77150676496812,145.66094949112775,282.08448491441504,136.4235354232873,in_domain,590.4267336625502,333.9592903627787,313.29441170004003,867.5590556250604,554.2646439250204,in_domain,0.2267990125114609,0.1536476392782556,0.1279221714603302,0.3256758535625916,0.1977536821022614,in_domain,0.089441072436997,0.0778053638544897,-0.0197068402943186,0.1985889851683128,0.2182958254626315,in_domain,Na_candidate_22
23,Na_000405,el_6ca1aa29233ab3d9,Na0-1VPO5,VPO5,NaVPO5,VPO5,polyanion_phosphate_like,O-P-V,3.600908689051717,144.9496306764634,521.9503845777144,0.028865546752802,0.0056868725,True,True,True,0.6287622794785732,0.551214108028264,0.1184985435980593,0.0,0.5738794617621932,0.5783583109823296,22.0,13.25,0.076,0.434,0.788,5,False,False,False,3.7133644568501625,0.5712489012010818,2.5434200597192924,4.883308853981033,2.339888794261741,in_domain,144.43648162664027,42.583969405839376,76.22471391499661,212.648249338284,136.42353542328732,in_domain,496.7068409981238,171.90589135534287,219.5745190356137,773.839162960634,554.2646439250203,in_domain,0.0718582127924277,0.097873404041691,-0.0270186282587029,0.1707350538435584,0.1977536821022614,in_domain,0.0480349793410701,0.0368492144826336,-0.0611129333902455,0.1571828920723859,0.2182958254626315,in_domain,Na_candidate_23
24,Na_000320,el_7b99bdd6c891c0e0,Na0-1VF4,VF4,NaVF4,VF4,halide_or_fluoride_like,F-V,4.179153189051728,178.7660645353225,747.09076869702,0.19147314460584,0.024513009999999,True,True,False,0.7326500155275752,0.5371534642362094,0.553876690029029,0.0,0.5681789644919614,0.5808379159264505,22.0,11.0,0.07,0.43,0.846,5,False,False,False,3.661267363235891,0.8597359836165596,2.491322966105021,4.831211760366761,2.33988879426174,in_domain,170.23653843828356,77.03544739689757,102.0247707266399,238.4483061499272,136.42353542328732,in_domain,609.6042127049868,333.51101631994504,332.47189074247666,886.7365346674969,554.2646439250202,in_domain,0.1199541867049701,0.1507505841951834,0.0210773456538394,0.2188310277561009,0.1977536821022614,in_domain,0.0970751054531084,0.2130660275827149,-0.0120728072782073,0.2062230181844241,0.2182958254626315,in_domain,Na_candidate_24
25,Na_000020,el_ac8e76a995df5aff,Na1-3MnAsCO7,NaMnAsCO7,Na3MnAsCO7,MnAsCO7,transition_metal_oxide_like,As-C-Mn-O,3.390345429051724,166.03802903051624,562.9262727723682,0.062758297887686,0.012315709429295,True,True,False,0.6350411733236634,0.5769785924485484,0.2192225202503584,0.0,0.5622555433824739,0.5670401919839361,25.0,12.0,0.032,0.322,0.73,5,False,False,False,3.78692163868896,0.6406962628085817,2.6169772415580903,4.95686603581983,2.33988879426174,in_domain,165.92885964882106,57.60005412588976,97.7170919371774,234.14062736046472,136.42353542328732,in_domain,600.4363921431012,235.8476328470277,323.30407018059105,877.5687141056114,554.2646439250204,in_domain,0.0799717610166044,0.0964173975244349,-0.0189050800345262,0.1788486020677352,0.1977536821022614,in_domain,0.0788077969924417,0.0713332457282581,-0.030340115738874,0.1879557097237574,0.2182958254626315,in_domain,Na_candidate_25
26,Na_000086,el_fb00cb23f2cde315,Na1-2.5MnPCO7,NaMnPCO7,Na5Mn2P2(CO7)2,MnPCO7,polyanion_phosphate_like,C-Mn-O-P,3.611596209885063,150.3489705497081,542.9997721974468,0.056828403091353,0.019132283636364,True,False,True,0.6166287068048434,0.5957690265416146,0.1425026595744007,0.0,0.5570288204314421,0.552303153519809,28.0,15.0,0.026,0.23,0.612,5,False,False,False,3.740575767000324,0.5713840038483107,2.570631369869454,4.910520164131194,2.33988879426174,in_domain,156.33027239693095,54.54849793027125,88.11850468528729,224.5420401085746,136.42353542328732,in_domain,567.0031056058489,239.47970083002537,289.8707836433387,844.1354275683591,554.2646439250204,in_domain,0.0784409277788463,0.0825623326977229,-0.0204359132722843,0.177317768829977,0.1977536821022614,in_domain,0.0471862826038771,0.0388283250472279,-0.0619616301274385,0.1563341953351929,0.2182958254626315,in_domain,Na_candidate_26
27,Na_000093,el_19dfe4e31a7c4bf3,Na0-2MnCSO7,MnCSO7,Na2MnCSO7,MnCSO7,sulfate_or_sulfur_oxoanion_like,C-Mn-O-S,4.100874681551726,208.58069746847025,855.3633013088498,0.21292472878333,0.087316613750001,True,False,False,0.7066306094630271,0.5206785771613157,0.2084392415893091,0.0,0.5397827794855958,0.5491180076792156,29.0,16.0,0.018,0.206,0.562,5,False,False,False,4.081438198827792,0.6501608571110116,2.911493801696922,5.2513825959586615,2.33988879426174,in_domain,147.49962970484398,65.68192183827061,79.28786199320032,215.71139741648764,136.42353542328732,in_domain,469.5171352522905,220.8763802990212,192.3848132897804,746.6494572148007,554.2646439250203,in_domain,0.0991220756939355,0.0949713012097287,0.0002452346428048,0.1979989167450663,0.1977536821022614,in_domain,0.0781315179476458,0.063661903709292,-0.0310163947836698,0.1872794306789616,0.2182958254626315,in_domain,Na_candidate_27
28,Na_000256,el_1a301f3c8d1664da,Na1-3VSiCO7,NaVSiCO7,Na3VSiCO7,VSiCO7,silicate_like,C-O-Si-V,2.9326560578017262,197.067679986078,577.9317255081036,0.026909028376574,0.088130306363638,True,True,True,0.5397360214426418,0.585461486475444,0.2571245909842033,0.0,0.5409114031040865,0.5521960408665908,28.0,14.0,0.014,0.19,0.588,5,False,False,False,3.494597400455626,0.6691749704560669,2.324653003324756,4.664541797586496,2.33988879426174,in_domain,192.29646049169384,67.79142701422634,124.0846927800502,260.5082282033375,136.42353542328732,in_domain,631.1385757835768,241.07788732665023,354.00625382106665,908.270897746087,554.2646439250204,in_domain,0.0748915440191489,0.0725382149032131,-0.0239852970319817,0.1737683850702797,0.1977536821022614,in_domain,0.0886898183223887,0.0911220452338827,-0.020458094408927,0.1978377310537045,0.2182958254626315,in_domain,Na_candidate_28
