target,protocol,model_name,n_groups,n_test_min,n_test_median,n_test_max,mae_median,mae_iqr,r2_median,r2_iqr,negative_r2_fraction,primary_reporting_policy
capacity_grav,P0,Ridge,75,7,17.0,153,2.8337888861615093,2.8550864704916634,0.9956566005619368,0.010554501290449436,0.013333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P1,ExtraTrees,75,7,17.0,153,45.73788904315581,26.81170832872722,0.0079591987727539,0.47273104054682186,0.48,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P1,Ridge,75,7,17.0,153,49.59234626745819,23.455383359563953,-0.064815173187736,0.4169210634077975,0.6533333333333333,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P2,ExtraTrees,75,7,17.0,153,12.979735344078223,11.222008024012883,0.8602893508499136,0.259916012779545,0.05333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P2,Ridge,75,7,17.0,153,29.02051988232738,17.81259673061763,0.5473947234027536,0.2821793120930943,0.14666666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P3,ExtraTrees,75,7,17.0,153,15.919018779157698,15.271664091577788,0.8031249117682732,0.20357386484372497,0.05333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P3,Ridge,75,7,17.0,153,24.83566531144308,15.469334845842326,0.6703873371090422,0.2721457854460362,0.08,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P4,ExtraTrees,75,7,17.0,153,0.2223930364043106,0.3795876693152661,0.9999562595441251,0.00023989241535793404,0.013333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
capacity_grav,P4,Ridge,75,7,17.0,153,0.1361072081299426,0.13526092792000466,0.9999900121726424,2.436796278815212e-05,0.013333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P0,ExtraTrees,75,7,17.0,153,7.817000986407129,8.48205434730717,0.9961138392930192,0.006585522728492332,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P0,Ridge,75,7,17.0,153,12.90253957209551,9.912139267657036,0.9916674151923452,0.010221667154899472,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P1,ExtraTrees,75,7,17.0,153,149.01246303766797,80.6809411007782,-0.0004435906600657,0.41517048690968106,0.5066666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P1,Ridge,75,7,17.0,153,181.7437105795444,71.53605677371681,-0.1247007282461454,0.4378682970101084,0.7066666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P2,ExtraTrees,75,7,17.0,153,83.47273432811183,57.24276648367492,0.7094423629238252,0.43743958206827804,0.12,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P2,Ridge,75,7,17.0,153,117.74785388345003,70.29901297473957,0.4280253517190885,0.393851271697364,0.17333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P3,ExtraTrees,75,7,17.0,153,79.20273371870518,46.96898933742335,0.7236863105560605,0.4001599978857713,0.12,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P3,Ridge,75,7,17.0,153,106.7219257431687,45.661595398943206,0.5714620324076851,0.3945554921133461,0.14666666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P4,ExtraTrees,75,7,17.0,153,0.6622149229301932,0.9463333944641604,0.999955016670651,0.00013319991530713615,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
energy_grav,P4,Ridge,75,7,17.0,153,0.4904943057951527,0.3743252306027397,0.9999884522200978,1.4495770085387605e-05,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P0,ExtraTrees,75,7,17.0,153,0.0081600580182574,0.010945169819673297,0.8234904310012137,0.23229113288616454,0.02666666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P0,Ridge,75,7,17.0,153,0.0175258308189361,0.01248715958767325,0.6280800826908168,0.457377174634533,0.16,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P1,ExtraTrees,75,7,17.0,153,0.0285467140841763,0.019531778322779095,-0.0062640916268887,0.34942646570369523,0.52,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P1,Ridge,75,7,17.0,153,0.0352756654032218,0.019043479763056502,-0.2496503872151125,0.8993543180871881,0.7466666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P2,ExtraTrees,75,7,17.0,153,0.0262365300358293,0.016646150442299397,0.0752668490319697,0.36821043794487507,0.38666666666666666,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P2,Ridge,75,7,17.0,153,0.0352714593705039,0.020613061630404748,-0.1472018049055026,0.9488361557199949,0.7333333333333333,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P3,ExtraTrees,75,7,17.0,153,0.0249954161236658,0.015983072936921895,0.212290808952973,0.39647818030330334,0.28,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P3,Ridge,75,7,17.0,153,0.0339672031828968,0.0203861425917699,-0.1545744513252902,1.1233313752554004,0.5733333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P4,ExtraTrees,75,7,17.0,153,6.967181876281387e-05,0.00012319604274165324,0.9999862110888872,7.740614851470262e-05,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
max_delta_volume,P4,Ridge,75,7,17.0,153,3.789633156161077e-05,2.755878332027487e-05,0.9999983010748044,2.2134118902172872e-06,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P0,ExtraTrees,75,7,17.0,153,0.001013922638149,0.00157491975192665,0.9987211226762418,0.0029577359524706193,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P0,Ridge,75,7,17.0,153,0.0017082238312392,0.0020258848073721,0.9963686060671624,0.02160429730241864,0.013333333333333334,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P1,ExtraTrees,75,7,17.0,153,0.0323510769876176,0.026608951077225152,-0.1079148312832427,0.4417800312788856,0.8,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P1,Ridge,75,7,17.0,153,0.033270145400969,0.02443620469620645,-0.2045750693692505,0.8447023615661131,0.88,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P2,ExtraTrees,75,7,17.0,153,0.0287623624986301,0.021781188440251505,-0.1018345715822519,0.7566239710558679,0.6133333333333333,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P2,Ridge,75,7,17.0,153,0.0333414162428566,0.027199873956453555,-0.3391329602131114,1.0495412356615221,0.7733333333333333,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P3,ExtraTrees,75,7,17.0,153,0.0287785761567777,0.026341241402392447,0.0592520167094536,0.6702138670375537,0.48,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P3,Ridge,75,7,17.0,153,0.036200094196792,0.02661468997259575,-0.4800784926251598,2.172942043094559,0.6266666666666667,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P4,ExtraTrees,75,7,17.0,153,8.576274878380041e-05,0.00020032943934691268,0.9999727292598382,8.037984953246369e-05,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
stability_worst,P4,Ridge,75,7,17.0,153,0.0001970725038716,0.0002228140267291,0.9999515891873684,0.0003149375811206667,0.0,Use pooled/weighted error and group-level MAE distributions; do not use unweighted mean group R2 as the main result.
