query_id,manual_candidate_id,shortlist_priority_rank,battery_formula,formula_discharge,framework_formula,coarse_family,chemical_system_uid,query_type,query_priority,query_priority_tier,search_platform,search_query,search_url,query_note,manual_check_required,recommended_action,normalized_search_query,manual_checked,annotation_status,analogue_level,relevance_score_0_to_3,citation_title,citation_year,doi,url,source_journal_or_database,same_sodium_working_ion,same_formula,same_framework,same_transition_metal,same_anion_framework,electrochemical_evidence_reported,computed_or_experimental,manual_evidence_note,reviewer_initials,manual_check_date,needs_second_check,evidence_confidence_0_to_3,do_not_use_as_discovery_claim,manual_filling_hint,negative_result_rule
Q0011,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,TRUE,search_if_needed,naxcoo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0012,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",TRUE,search_if_needed,coo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0013,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,sodium cobalt oxide cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0014,Na_candidate_02,2,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,layered transition metal oxide sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0015,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaCoO2+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,TRUE,search_this_first,nacoo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0016,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_exact_formula_electrode,2,A_try_first,Google Scholar,NaCoO2 electrode cathode,https://scholar.google.com/scholar?q=NaCoO2+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,TRUE,search_this_first,nacoo2 electrode cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0017,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaCoO2"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaCoO2%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,TRUE,search_if_needed,"""nacoo2"" sodium ion battery cathode",TRUE,exact_or_near_exact_formula,exact_formula,3,Sol-gel-based synthesis of high-capacity-NaCoO2 cathode for advanced sodium-ion batteries,2024,10.1016/j.electacta.2024.145201,https://www.sciencedirect.com/science/article/abs/pii/S0013468624014373,Electrochimica Acta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,experimental,"Paper reports experimental synthesis and electrochemical testing of phase-pure P2-NaCoO2 as a sodium-ion battery cathode. The reported NaCoO2 formula directly matches the discharged formula of the Na0-1CoO2 candidate, and the study reports discharge capacity and energy-density values. This is exact formula-level experimental cathode evidence, but it should still not be treated as validation of the specific Materials Project computed record.",Md Efatuzzaman Efat,7/6/2026,FALSE,3,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0018,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxCoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxCoO2+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,TRUE,search_if_needed,naxcoo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0019,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,_framework_formula,5,B_try_second,Google Scholar,CoO2 sodium ion battery cathode,https://scholar.google.com/scholar?q=CoO2+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",TRUE,search_if_needed,coo2 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0020,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,material_phrase_oxide,6,C_broad_fallback,Google Scholar,sodium cobalt oxide cathode,https://scholar.google.com/scholar?q=sodium+cobalt+oxide+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,sodium cobalt oxide cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0021,Na_candidate_03,3,Na0-1CoO2,NaCoO2,CoO2,transition_metal_oxide_like,Co-O,broad_family_oxide,8,C_broad_fallback,Google Scholar,layered transition metal oxide sodium ion battery cathode,https://scholar.google.com/scholar?q=layered+transition+metal+oxide+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,layered transition metal oxide sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0022,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,Na4Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,TRUE,search_this_first,na4fe2(po4)3 sodium ion battery cathode,TRUE,same_framework_analogue,same_framework,2,"Monoclinic Phase Na3Fe2(PO4)3: Synthesis, Structure, and Electrochemical Performance as Cathode Material in Sodium-Ion Batteries",2016,10.1021/acssuschemeng.6b01536,https://pubs.acs.org/doi/abs/10.1021/acssuschemeng.6b01536,ACS Sustainable Chemistry & Engineering / ACS Publications,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,experimental,"Selected literature provides exact or near-exact sodium-ion cathode evidence for this candidate, but it is not validation of the specific Materials Project computed record or triage rank.",Md Efatuzzaman Efat,7/8/2026,FALSE,2,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0023,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_exact_formula_electrode,2,A_try_first,Google Scholar,Na4Fe2(PO4)3 electrode cathode,https://scholar.google.com/scholar?q=Na4Fe2%28PO4%293+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,TRUE,search_this_first,na4fe2(po4)3 electrode cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0024,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,quoted_literature_formula,3,B_try_second,Google Scholar,"""Na4Fe2(PO4)3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22Na4Fe2%28PO4%293%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,TRUE,search_if_needed,"""na4fe2(po4)3"" sodium ion battery cathode",TRUE,same_framework_analogue,same_framework,2,"Monoclinic Phase Na3Fe2(PO4)3: Synthesis, Structure, and Electrochemical Performance as Cathode Material in Sodium-Ion Batteries",2016,10.1021/acssuschemeng.6b01536,https://pubs.acs.org/doi/abs/10.1021/acssuschemeng.6b01536,ACS Sustainable Chemistry & Engineering / ACS Publications,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,experimental,"Paper reports experimental synthesis, structural characterization, and sodium-ion half-cell testing of monoclinic Na3Fe2(PO4)3 as a cathode material for sodium-ion batteries. The material shares the Fe2(PO4)3 sodium iron phosphate framework with the Na0-4Fe2(PO4)3 candidate, and ex-situ XRD indicates partial transformation into Na4Fe2(PO4)3 during sodium-ion insertion. Because the main reported starting cathode is Na3Fe2(PO4)3 rather than exact Na4Fe2(PO4)3, this is treated as strong same-framework sodium iron phosphate cathode evidence, not exact formula validation of the Materials Project candidate.",Md Efatuzzaman Efat,7/7/2026,FALSE,3,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0025,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,variable_sodium_literature_formula,4,B_try_second,Google Scholar,NaxFe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaxFe2%28PO4%293+sodium+ion+battery+cathode,Variable-sodium literature formula. Useful when papers report Nax phases instead of a fully sodiated formula.,TRUE,search_if_needed,naxfe2(po4)3 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0026,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,_framework_formula,5,B_try_second,Google Scholar,Fe2(PO4)3 sodium ion battery cathode,https://scholar.google.com/scholar?q=Fe2%28PO4%293+sodium+ion+battery+cathode,"Framework-level search-friendly formula. This is analogue evidence, not exact formula validation.",TRUE,search_if_needed,fe2(po4)3 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0027,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,material_phrase_phosphate,6,C_broad_fallback,Google Scholar,sodium iron phosphate cathode,https://scholar.google.com/scholar?q=sodium+iron+phosphate+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,sodium iron phosphate cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0028,Na_candidate_04,4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,polyanion_phosphate_like,Fe-O-P,broad_family_polyanion,7,C_broad_fallback,Google Scholar,polyanion phosphate sodium ion battery cathode,https://scholar.google.com/scholar?q=polyanion+phosphate+sodium+ion+battery+cathode,Material-name or family-name query. Use to find papers that do not write the exact formula in the title/abstract.,TRUE,search_if_needed,polyanion phosphate sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0029,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_sodium_ion,1,A_try_first,Google Scholar,NaMnF3 sodium ion battery cathode,https://scholar.google.com/scholar?q=NaMnF3+sodium+ion+battery+cathode,Search-friendly discharged formula. Uses grouped/expanded anion notation when needed; no strict quotes to tolerate formatting differences.,TRUE,search_this_first,namnf3 sodium ion battery cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0030,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,_exact_formula_electrode,2,A_try_first,Google Scholar,NaMnF3 electrode cathode,https://scholar.google.com/scholar?q=NaMnF3+electrode+cathode,Search-friendly discharged formula with electrode/cathode words.,TRUE,search_this_first,namnf3 electrode cathode,FALSE,not_checked,not_checked,,,,,,,,,,,,,not_checked,,,,,,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
Q0031,Na_candidate_05,5,Na0-1MnF3,NaMnF3,MnF3,halide_or_fluoride_like,F-Mn,quoted_literature_formula,3,B_try_second,Google Scholar,"""NaMnF3"" sodium ion battery cathode",https://scholar.google.com/scholar?q=%22NaMnF3%22+sodium+ion+battery+cathode,Quoted formula query. Use after the unquoted query; quotes can miss papers using subscripts/spaces.,TRUE,search_if_needed,"""namnf3"" sodium ion battery cathode",TRUE,exact_or_near_exact_formula,exact_formula,2,"First principle evaluations on perovskite-type sodium trifluorides, NaMF3 (M= V, Mn, Fe, Co, Ni, and Cu), as electrode materials for Na-ion batteries",2024,10.1016/j.nanoso.2024.101227,https://www.sciencedirect.com/science/article/abs/pii/S2352507X24001380,Nano-Structures & Nano-Objects / ScienceDirect,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,computed,"Paper reports DFT/first-principles evaluation of perovskite-type NaMF3 sodium trifluorides, including exact NaMnF3, as candidate electrode materials for Na-ion batteries. It evaluates structural stability, Na diffusion channels, voltage/electrochemical properties, and electronic properties. This is exact formula-level computational evidence for the NaMnF3 candidate, but it is not experimental cathode validation and should not be treated as validation of the specific Materials Project computed record",Md Efatuzzaman Efat,7/8/2026,FALSE,2,TRUE,"Prefer primary experimental sodium-ion cathode papers. If none, accept exact/near-exact computed papers. Use reviews only as background. Never claim this validates the MP record.",Only mark no_relevant_literature_found for this exact query after checking it. Do not conclude the whole candidate has no literature unless several A/B/C queries fail.
